deme,alpha_outliers,alpha,Curve_Fit
1,5390,,15491.72434
2,3120,,13211.28331
3,6270,,11283.39081
4,7150,,9655.528751
5,5440,,8282.154201
6,7010,7010,7123.926796
7,6210,6210,6147.00327
8,5430,5430,5322.394775
9,4660,4660,4625.382982
10,4120,4120,4034.991049
11,3490,3490,3533.505737
12,2980,2980,3106.047109
13,2640,2640,2740.182402
14,2340,2340,2425.580831
15,2300,2300,2153.706205
16,1910,1910,1917.544428
17,1750,1750,1711.363071
18,1520,1520,1530.500337
19,1340,1340,1371.180913
20,1280,1280,1230.356315
21,1110,1110,1105.567449
22,980,980,994.8272813
23,890,890,896.5215948
24,805,805,809.3259515
25,735,735,732.1370961
26,675,675,664.0171451
27,610,610,604.1490224
28,555,555,551.8017059
29,510,510,506.3039583
30,470,470,467.025313
31,445,445,433.363185
32,420,420,404.7350717
33,385,385,380.5748977
34,365,365,360.3326472
35,345,345,343.4765099
36,330,330,329.4968488
37,310,310,317.9113739
38,300,300,308.270982
39,290,290,300.1657912
40,280,280,293.2309671
41,270,270,287.1520019
42,265,265,281.6691674
43,260,260,276.5809199
44,260,260,271.7460888
45,255,255,267.084733
46,255,255,262.5775914
47,250,250,258.264103
48,250,250,254.2390085
49,250,250,250.6475833
50,255,255,247.679585
51,255,255,245.5620292
52,255,255,244.5509333
53,260,260,244.9221914
54,265,265,246.9617631
55,275,275,250.9553767
56,280,280,257.1779584
57,290,290,265.8830113
58,300,300,277.2921713
59,310,310,291.5851729
60,320,320,308.8904564
61,340,340,329.2766427
62,355,355,352.745098
63,375,375,379.2237961
64,400,400,408.5626759
65,425,425,440.5306722
66,450,450,474.8145768
67,480,480,511.0198648
68,515,515,548.6735914
69,555,555,587.2294354
70,595,595,626.0749304
71,630,630,664.5408861
72,680,680,701.9129642
73,725,725,737.4453254
74,765,765,770.3762187
75,805,805,799.9453319
76,845,845,825.4126677
77,880,880,846.0786529
78,895,895,861.3051257
79,920,920,870.5367809
80,925,925,873.3225881
81,905,905,869.3366211
82,865,865,858.3976673
83,850,850,840.4869037
84,825,825,815.7628475
85,770,770,784.5727006
86,730,730,747.4591242
87,675,675,705.1613821
88,620,620,658.6097005
89,580,580,608.9115925
90,540,540,557.3287914
91,485,485,505.2433349
92,450,450,454.111232
93,410,410,405.4020318
94,370,370,360.5224985
95,330,330,320.7224799
96,305,305,286.9809301
97,280,280,259.869927
98,260,260,239.3943915
99,230,230,224.8050855
100,200,200,214.3823301
,,190,205.1877448
