,deme,food_conc,drift_velocity,rel_prob_tum_up,rel_prob_tum_down,tum_diff,rel_prob_tum_diff
0,1,0.211633313,0.068255139,0.495203186,0.504796814,0.006015217,0.009593629
1,2,0.239943894,0.077261313,0.494758579,0.505241421,0.006572813,0.010482842
2,3,0.272041634,0.087437268,0.494266636,0.505733364,0.007189794,0.011466728
3,4,0.308433148,0.09892974,0.493719377,0.506280623,0.007876175,0.012561246
4,5,0.349692823,0.111902413,0.493107283,0.506892717,0.008643908,0.013785435
5,6,0.396471881,0.126537478,0.492419108,0.507580892,0.009507112,0.015161783
6,7,0.44950866,0.1430372,0.491641723,0.508358277,0.010482282,0.016716554
7,8,0.509640268,0.161625479,0.490759977,0.509240023,0.011588457,0.018480046
8,9,0.577815793,0.18254933,0.489756622,0.510243378,0.012847326,0.020486756
9,10,0.655111284,0.206080225,0.488612304,0.511387696,0.014283247,0.022775393
10,11,0.742746736,0.232515187,0.487305638,0.512694362,0.015923161,0.025388724
11,12,0.842105346,0.262177536,0.485813405,0.514186595,0.017796371,0.028373191
12,13,0.954755341,0.295417128,0.484110862,0.515889138,0.019934168,0.031778276
13,14,1.082474735,0.33260992,0.482172199,0.517827801,0.022369301,0.035655602
14,15,1.22727939,0.374156646,0.479971118,0.520028882,0.025135285,0.040057764
15,16,1.391454832,0.420480381,0.477481534,0.522518466,0.028265592,0.045036931
16,17,1.577592327,0.472022711,0.474678349,0.525321651,0.031792747,0.050643302
17,18,1.788629781,0.529238242,0.47153823,0.52846177,0.035747449,0.056923539
18,19,2.027898107,0.592587149,0.468040316,0.531959684,0.040157797,0.063919368
19,20,2.2991738,0.662525498,0.46416671,0.53583329,0.045048801,0.07166658
20,21,2.606738547,0.739493113,0.45990265,0.54009735,0.050442324,0.080194699
21,22,2.955446801,0.823898841,0.455236207,0.544763793,0.056357635,0.089527585
22,23,3.350802406,0.916103196,0.450157417,0.549842583,0.062812713,0.099685167
23,24,3.799045463,1.016398545,0.444656804,0.555343196,0.069826365,0.110686393
24,25,4.307250826,1.124987235,0.438723377,0.561276623,0.077421104,0.122553247
25,26,4.883439764,1.241958317,0.432342312,0.567657688,0.085626545,0.135315377
26,27,5.536706565,1.367263852,0.425492738,0.574507262,0.094482889,0.149014524
27,28,6.27736208,1.500696077,0.418146214,0.581853786,0.104043787,0.163707572
28,29,7.117096457,1.641866982,0.410266623,0.589733377,0.114377727,0.179466754
29,30,8.06916366,1.790192023,0.401812261,0.598187739,0.125566939,0.196375477
30,31,9.14859066,1.944879737,0.39274075,0.60725925,0.137702905,0.214518501
31,32,10.37241461,2.104928885,0.383017068,0.616982932,0.150877771,0.233965864
32,33,11.75995177,2.269134369,0.372624429,0.627375571,0.165171486,0.254751142
33,34,13.33310235,2.436102627,0.36157695,0.63842305,0.180635108,0.2768461
34,35,15.11669619,2.604276424,0.349932276,0.650067724,0.19727152,0.300135449
35,36,17.1388847,2.771968175,0.337801688,0.662198312,0.215015508,0.324396623
36,37,19.43158512,2.937400074,0.325355058,0.674644942,0.233715758,0.349289885
37,38,22.03098433,3.098748648,0.312818496,0.687181504,0.253121704,0.374363007
38,39,24.97811,3.254190929,0.300463832,0.699536168,0.272878197,0.399072336
39,40,28.31947813,3.401949321,0.288590736,0.711409264,0.292530706,0.422818528
40,41,32.10782729,3.540332478,0.277504086,0.722495914,0.311543036,0.444991828
41,42,36.40295094,3.667770069,0.267490196,0.732509804,0.329328269,0.465019608
